# TITLE Crystal table for perfect crystal bent monochromator
# Table copied from SIMRES, current url: https://github.com/saroun/simres
# Contents: dhkl, QML,sigmab,sigmaa,V0,A,thetaD,C2,poi
# dhkl ... Lattice spacing of crystal plane.
# QML = 4*PI*(F*dhkl/V0)**2 [ A^-1 cm^-1]
# sigmab ... bound-atom scattering cross-section [barn]
# sigmaa ... absorption for 1A neutrons [barn*A^-1]
# sigmai ... incoherent scattering cross-section [barn]
# V0 .... volume [A^3]/atom
# A  .... atomic number
# thetaD .... Debye temperature (K)
# C2 .... constant from the Freund's paper  [A^-2 eV^-1]
# poi .... Poisson elastic constant
0
# The first two rows are placeholders for making stuff work.
0
# Cu 111 
 1.26105  0.27455      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 311 
 1.07543  0.09984      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 400 
 0.89170  0.13727      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 331 
 0.81828  0.0578       5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 422 
 0.72807  0.09152      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 333 
 0.68643  0.04067      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 511 
 0.68643  0.04067      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
# Di 440 
 0.63053  0.06864      5.55449  0.00194444	0.0  5.67213  12.01  1860  3.00  0.30000E+00
